village_name_pdf,circle,flood_class,pdf_page
Moran Chah Company WNL 5,moran,Moderate (9-12),165
Chirikabel,tengakhat,Moderate (9-12),165
Lahowal Patia,dibrugarh east,Moderate (9-12),165
Ghoguloni Bangali,moran,Moderate (9-12),165
Ghahi Gaon,tengakhat,Moderate (9-12),165
Niz-Moderkhat,dibrugarh east,Moderate (9-12),165
Nahorani No.1,moran,Moderate (9-12),165
Naharani No.2,tengakhat,Moderate (9-12),165
Dangar Pather No.1,dibrugarh east,Moderate (9-12),165
Lokumaibil,moran,Moderate (9-12),165
Bhadai nagar,tengakhat,Moderate (9-12),165
Nizkanai Gaon,dibrugarh east,Moderate (9-12),165
Teloibari Block Gaon,moran,Moderate (9-12),165
Leojeoni Gaon,tengakhat,Moderate (9-12),165
Sagunibari,dibrugarh east,Moderate (9-12),165
Aremeshlow No.1,moran,Moderate (9-12),165
Puwali Pather,tengakhat,Moderate (9-12),165
Chengelijan,dibrugarh east,Moderate (9-12),165
Naharari No.2,moran,Moderate (9-12),165
Chengdang Gaon,tengakhat,Moderate (9-12),165
Bangal Gaon,dibrugarh east,Moderate (9-12),165
Lengeri No.2,moran,Moderate (9-12),165
Balijan Chah Bagan No.117,tengakhat,Moderate (9-12),165
Rajgarh No.2,dibrugarh east,Moderate (9-12),165
Teloibari Bengali,moran,Moderate (9-12),165
Mahabir Chah Bagan 768/348,tengakhat,Moderate (9-12),165
Japi Sajia Gaon,dibrugarh east,Moderate (9-12),165
Bez Gaon,moran,Moderate (9-12),165
Ushapur (Borbam Gaon),tengakhat,Moderate (9-12),165
Hatkhola Gaon,dibrugarh east,Moderate (9-12),165
Haladhibari Na-Gaon,moran,Moderate (9-12),165
Kheremia Gaon,tengakhat,Moderate (9-12),165
Romai Bongali,dibrugarh east,Moderate (9-12),165
Teloikiner Gaon,moran,Moderate (9-12),165
Bokuloni Gaon No.1,tengakhat,Moderate (9-12),165
Gohain Gaon,dibrugarh east,Moderate (9-12),165
Ahomgaon,moran,Moderate (9-12),165
Disang Borbil,tengakhat,Moderate (9-12),165
Niz Lahowal,dibrugarh east,Moderate (9-12),165
Dekhari Kinar Saragphola,moran,Moderate (9-12),165
Tingrai Nepali,tengakhat,Moderate (9-12),165
Timona Gaon,dibrugarh east,Moderate (9-12),165
2 No. Khowang,moran,Moderate (9-12),165
Appln. No.4 Gariakhitigaon,tengakhat,Moderate (9-12),165
Nunpuria,dibrugarh east,Moderate (9-12),165
Dulia Lahowal Gaon,moran,Moderate (9-12),165
Tingraidam Gaon,tengakhat,Moderate (9-12),165
Baliabari Gaon,dibrugarh west,Moderate (9-12),165
Niz-Khowang,moran,Moderate (9-12),165
Dhekiajan Gaon No.1,tengakhat,Moderate (9-12),165
Khanikar TE,dibrugarh west,Moderate (9-12),165
Chahari Kota No.3,moran,Moderate (9-12),165
Madhuting Chah bagan 24,tengakhat,Moderate (9-12),165
Sonowal Gaon,dibrugarh west,Moderate (9-12),166
Podumoni No.2,moran,Moderate (9-12),166
Tingrai TE Co.Darkasta 29,tengakhat,Moderate (9-12),166
Tepor Gaon,dibrugarh west,Moderate (9-12),166
Bagtali Pather Gaon,moran,Moderate (9-12),166
Barkalagaon,tengakhat,Moderate (9-12),166
Nowjan Gaon,dibrugarh west,Moderate (9-12),166
Kolowlowa Gaon,moran,Moderate (9-12),166
Hatigarh N.C.,tengakhat,Moderate (9-12),166
45 Balai F.S.Grant (B),dibrugarh west,Moderate (9-12),166
Talpani Block Gaon,moran,Moderate (9-12),166
Chercherijan,tengakhat,Moderate (9-12),166
Tiliki Amguri,moran,Moderate (9-12),166
Borbam Gaon,tengakhat,Moderate (9-12),166
Lepet Kata 60 FS 70 NLR,dibrugarh west,Moderate (9-12),166
Dekhari Moran No.2,moran,Moderate (9-12),166
Tingrai Hola,tengakhat,Moderate (9-12),166
Rawmari gaon,dibrugarh west,Moderate (9-12),166
Naloni Doloni-1,moran,Moderate (9-12),166
Pachuti Gaon,tengakhat,Moderate (9-12),166
Dewanbari Bengali Gaon,dibrugarh west,Moderate (9-12),166
Sensuwa Pukhuri No.2,moran,Moderate (9-12),166
Gariabam,tengakhat,Moderate (9-12),166
Kachari Gaon,dibrugarh west,Moderate (9-12),166
Podumoni Miri Gaon,moran,Moderate (9-12),166
Tarajan Chah Bagicha,tengakhat,Moderate (9-12),166
Balai and 42/137 RR Grant,dibrugarh west,Moderate (9-12),166
Bagtali Sonowal,moran,Moderate (9-12),166
Dehing Hoola Gaon No.2,tengakhat,Moderate (9-12),166
Kalyani Na-Gaon,dibrugarh west,Moderate (9-12),166
Koilagarh Gaon,moran,Moderate (9-12),166
Hatiali Gaon,tengakhat,Moderate (9-12),166
Ahom Gaon No.2,moran,Moderate (9-12),166
Dirial,tengakhat,Moderate (9-12),166
Mahmari Pather,dibrugarh west,Moderate (9-12),166
Moran Chah co.140/168no.f.s.Gr,moran,Moderate (9-12),166
Chiring Khat Good No.2,tengakhat,Moderate (9-12),166
Handique Chuk Gaon,dibrugarh west,Moderate (9-12),166
Bukahula,moran,Moderate (9-12),166
