village_name,location_code,area_ha,population,households,primary_school,middle_school,secondary_school,senior_secondary_school,chc,phc,phs,hospital_allopathic,dispensary,medicine_shop,tap_water,well_water,hand_pump,tube_well,river_canal,pond_lake,community_toilet_bath,community_toilet,mobile_coverage,internet_csc,bus_service,railway_station,auto,taxi,national_highway,state_highway,major_district_road,other_district_road,pucca_roads,kutcha_roads,footpaths,bank,atm,agricultural_credit_society,pds_shop,icds,anganwadi,asha,electricity_domestic,electricity_agricultural,electricity_commercial,electricity_all_uses,forest_ha,non_agricultural_ha,barren_uncultivable_ha,pasture_ha,culturable_waste_ha,fallow_ha,current_fallow_ha,net_area_sown_ha,irrigated_ha,unirrigated_ha
Deogharia No.1,291822,177.7,630,138,1,a,a,a,,,,,,0.0,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,c,Yes,c,Yes,Yes,c,Yes,c,Yes,b,Yes,Yes,c,c,c,a,c,Yes,Yes,Yes,No,No,No,0.0,56.6,0.0,26.5,1.0,0.0,0.5,82.4,0.0,82.4
1 No. Lengeri Gaon,291823,268.9,1171,257,3,2,1,a,,1.0,,,,1.0,No,Yes,Yes,Yes,No,Yes,No,No,Yes,c,Yes,c,c,Yes,Yes,b,c,Yes,b,Yes,Yes,c,c,c,Yes,Yes,Yes,Yes,Yes,No,No,No,0.0,40.2,0.0,0.0,1.4,0.0,1.0,218.5,0.0,218.5
Lengeri No.2,291824,84.1,414,93,1,a,a,b,,,,,,0.0,Yes,Yes,Yes,Yes,No,No,No,No,Yes,c,Yes,c,c,c,c,Yes,c,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,a,Yes,No,No,No,0.0,20.5,0.0,0.0,7.5,0.0,0.5,48.6,0.0,48.6
Lengeri No.3,291825,57.9,156,32,1,a,,b,,,,,,0.0,Yes,No,Yes,Yes,No,No,No,No,Yes,b,Yes,b,b,b,b,b,Yes,Yes,b,Yes,Yes,c,b,c,a,Yes,Yes,a,Yes,No,No,No,0.0,3.9,2.8,0.0,4.5,3.0,1.4,31.8,0.0,31.8
Lengeri No.4,291826,58.4,138,30,1,a,,b,,,,,,0.0,No,No,Yes,Yes,No,No,No,No,Yes,c,Yes,c,b,c,b,b,Yes,Yes,b,Yes,Yes,c,b,c,a,Yes,Yes,a,Yes,No,No,No,0.0,2.9,2.0,0.0,0.5,3.2,1.5,33.0,0.0,33.0
Ghugulbari,291827,113.3,459,91,2,1,2,b,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,b,c,c,b,b,Yes,Yes,b,Yes,Yes,c,b,c,a,Yes,Yes,Yes,Yes,No,No,No,0.0,4.8,6.0,0.0,0.6,5.8,2.8,77.6,0.0,77.6
Thengal Gaon No.2,291828,133.5,798,147,1,a,b,b,,,,,,0.0,Yes,Yes,Yes,Yes,No,Yes,No,No,c,c,b,c,b,b,c,c,c,Yes,b,Yes,Yes,c,c,c,Yes,c,Yes,Yes,Yes,No,No,No,0.0,25.2,21.2,0.0,0.0,0.0,0.0,87.2,0.0,87.2
Ghugulbari (Ghugulpather),291829,157.2,525,114,1,a,a,b,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,c,c,c,c,c,c,b,b,Yes,b,Yes,Yes,c,c,c,a,Yes,Yes,Yes,Yes,No,No,No,0.0,10.8,15.6,0.0,0.8,6.2,3.2,99.7,0.0,99.7
Tenga Koch (Tengai Koch),291830,191.8,321,64,1,1,1,b,,,1.0,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,,b,b,b,Yes,a,Yes,b,Yes,Yes,c,c,c,a,c,Yes,a,Yes,No,No,No,0.0,4.5,10.6,0.0,0.8,5.1,7.4,142.6,0.0,142.6
Ghuguloni Borbam,291831,131.4,515,106,1,1,b,b,,,,,,0.0,No,Yes,Yes,Yes,No,No,No,No,Yes,b,Yes,b,b,b,b,b,Yes,Yes,b,Yes,Yes,c,b,c,a,Yes,Yes,Yes,Yes,No,No,No,0.0,6.3,20.0,0.0,0.8,5.1,2.4,86.2,0.0,86.2
